reportDate,fiscalDate,currency,totalRevenue,costOfRevenue,grossProfit,researchAndDevelopment,sellingGeneralAndAdmin,operatingExpense,operatingIncome,otherIncomeExpenseNet,ebit,interestIncome,pretaxIncome,incomeTax,minorityInterest,netIncome,netIncomeBasic,
2020-03-31,2020-03-31,USD,129139000,88648000,40491000,None,None,129449000,-310000,-40501000,-310000,2395000,-40811000,-1034000,0,-39777000,-39916000,
2019-12-31,2019-12-31,USD,152498000,105062000,47436000,None,None,151234000,1264000,6409000,1264000,2807000,7673000,-81000,0,7754000,7616000,
2019-09-30,2019-09-30,USD,138600000,94488000,44112000,None,None,140842000,-2242000,6789000,-2242000,2568000,4547000,-107000,0,4654000,4517000,
2019-06-30,2019-06-30,USD,142050000,101395000,40655000,None,None,146615000,-4565000,-3233000,-4565000,2881000,-7798000,962000,0,-8760000,-8895000,
