reportDate,fiscalDate,currency,netIncome,depreciation,changesInReceivables,changesInInventories,cashChange,cashFlow,capitalExpenditures,investments,investingActivityOther,totalInvestingCashFlows,dividendsPaid,netBorrowings,otherFinancingCashFlows,cashFlowFinancing,exchangeRateEffect,
2020-06-30,2020-06-27,USD,157000000,82000000,-98000000,-268000000,445000000,243000000,-91000000,55000000,None,-36000000,None,200000000,-1000000,238000000,None,
2020-03-31,2020-03-28,USD,162000000,78000000,168000000,-74000000,-136000000,-65000000,-55000000,-18000000,None,-73000000,None,None,-1000000,2000000,None,
2019-12-31,2019-12-28,USD,170000000,73000000,-466000000,58000000,309000000,442000000,-42000000,16000000,None,-26000000,None,-142000000,-1000000,-107000000,None,
2019-09-30,2019-09-28,USD,120000000,69000000,-60000000,-25000000,193000000,234000000,-55000000,112000000,None,57000000,None,-97000000,-4000000,-98000000,None,
