reportDate,fiscalDate,currency,netIncome,depreciation,changesInReceivables,changesInInventories,cashChange,cashFlow,capitalExpenditures,investments,investingActivityOther,totalInvestingCashFlows,dividendsPaid,netBorrowings,otherFinancingCashFlows,cashFlowFinancing,exchangeRateEffect,
2020-06-30,2020-06-30,USD,11202000000,3008000000,-9312000000,-251000000,1866000000,18673000000,-4744000000,3173000000,-1241000000,-4462000000,-3865000000,None,-2946000000,-12262000000,-83000000,
2020-03-31,2020-03-31,USD,10752000000,3118000000,826000000,181000000,2846000000,17504000000,-3767000000,4147000000,None,51000000,-3876000000,-3000000000,-1052000000,-14645000000,-64000000,
2019-12-31,2019-12-31,USD,11649000000,3203000000,-4438000000,799000000,-4253000000,10680000000,-3545000000,-2411000000,None,-6036000000,-3886000000,-18000000,-39000000,-8915000000,18000000,
2019-09-30,2019-09-30,USD,10678000000,2971000000,10437000000,-561000000,1761000000,13818000000,-3385000000,2071000000,None,-1776000000,-3510000000,-2500000000,286000000,-10209000000,-72000000,
