reportDate,fiscalDate,currency,totalRevenue,costOfRevenue,grossProfit,researchAndDevelopment,sellingGeneralAndAdmin,operatingExpense,operatingIncome,otherIncomeExpenseNet,ebit,interestIncome,pretaxIncome,incomeTax,minorityInterest,netIncome,netIncomeBasic,
2020-06-30,2020-06-30,USD,38033000000,12339000000,25694000000,5214000000,7073000000,24626000000,13407000000,15000000,13407000000,686000000,13422000000,2220000000,0,11202000000,11202000000,
2020-03-31,2020-03-31,USD,35021000000,10975000000,24046000000,4887000000,6184000000,22046000000,12975000000,-132000000,12975000000,614000000,12843000000,2091000000,0,10752000000,10752000000,
2019-12-31,2019-12-31,USD,36906000000,12358000000,24548000000,4603000000,6054000000,23015000000,13891000000,194000000,13891000000,654000000,14085000000,2436000000,0,11649000000,11649000000,
2019-09-30,2019-09-30,USD,33055000000,10406000000,22649000000,4565000000,5398000000,20369000000,12686000000,None,12686000000,637000000,12686000000,2008000000,0,10678000000,10678000000,
