reportDate,fiscalDate,currency,totalRevenue,costOfRevenue,grossProfit,researchAndDevelopment,sellingGeneralAndAdmin,operatingExpense,operatingIncome,otherIncomeExpenseNet,ebit,interestIncome,pretaxIncome,incomeTax,minorityInterest,netIncome,netIncomeBasic,
2020-06-30,2020-06-27,USD,1932000000,1084000000,848000000,460000000,215000000,1759000000,173000000,-13000000,173000000,14000000,160000000,4000000,0,157000000,157000000,
2020-03-31,2020-03-28,USD,1786000000,968000000,818000000,442000000,199000000,1609000000,177000000,-9000000,177000000,13000000,168000000,6000000,0,162000000,162000000,
2019-12-31,2019-12-28,USD,2127000000,1177000000,950000000,396000000,194000000,1767000000,360000000,-155000000,360000000,18000000,205000000,35000000,0,170000000,170000000,
2019-09-30,2019-09-28,USD,1801000000,1024000000,777000000,405000000,184000000,1613000000,188000000,-62000000,188000000,24000000,126000000,7000000,0,120000000,120000000,
